Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
169,Entry long,2024-04-30 23:10,AL,19214.75,78,29975010,-21847.8,-0.07,17546.1,0.06,-21843.9,-0.07,1299410.8,25.99
170,Exit long,2024-05-01 02:00,a-l-sl,19200.75,79,30359305,-22127.9,-0.07,17771.05,0.06,-22123.95,-0.07,1277286.8,25.55
170,Entry long,2024-04-30 23:10,AL,19214.75,79,30359305,-22127.9,-0.07,17771.05,0.06,-22123.95,-0.07,1277286.8,25.55
171,Exit short,2024-05-01 12:00,n-s-tp1,19102,26,9964110,31067.4,0.31,31068.7,0.31,-9101.3,-0.09,1308352.9,26.17
171,Entry short,2024-05-01 11:35,NS,19161.75,26,9964110,31067.4,0.31,31068.7,0.31,-9101.3,-0.09,1308352.9,26.17
172,Exit short,2024-05-01 12:15,n-s-be,19160.75,26,9964110,517.4,0.01,34188.7,0.34,-9101.3,-0.09,1308871.6,26.18
172,Entry short,2024-05-01 11:35,NS,19161.75,26,9964110,517.4,0.01,34188.7,0.34,-9101.3,-0.09,1308871.6,26.18
173,Exit short,2024-05-02 10:55,n-s-sl,19223.75,25,9587625,-24252.5,-0.25,17123.75,0.18,-24251.25,-0.25,1284617.8,25.69
173,Entry short,2024-05-02 10:20,NS,19175.25,25,9587625,-24252.5,-0.25,17123.75,0.18,-24251.25,-0.25,1284617.8,25.69
174,Exit short,2024-05-02 10:55,n-s-sl,19223.75,26,9971130,-25222.6,-0.25,17808.7,0.18,-25221.3,-0.25,1259396.5,25.19
174,Entry short,2024-05-02 10:20,NS,19175.25,26,9971130,-25222.6,-0.25,17808.7,0.18,-25221.3,-0.25,1259396.5,25.19
175,Exit long,2024-05-03 02:00,a-l-sl,19439.5,76,29573120,-25087.6,-0.08,14816.2,0.05,-25083.8,-0.08,1234305,24.69
